project_name,task_name,sub_task,sub_task_type,start_date,end_date
การขยายสนามบินสุวรรณภูมิ,งานบริหารจัดการความปลอดภัย,การจัดทำรายงานความปลอดภัย,การตรวจสอบ,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานติดตั้งระบบดับเพลิง,การติดตั้งหัวฉีดดับเพลิง,การติดตั้ง,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานติดตั้งระบบดับเพลิง,การทดสอบระบบดับเพลิง,การตรวจสอบ,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานติดตั้งระบบดับเพลิง,การติดตั้งถังเก็บน้ำดับเพลิง,การติดตั้ง,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานก่อสร้างหอควบคุมจราจร,การก่อสร้างฐานหอควบคุม,การก่อสร้าง,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานก่อสร้างหอควบคุมจราจร,การติดตั้งโครงสร้างหอควบคุม,การก่อสร้าง,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานก่อสร้างหอควบคุมจราจร,การทาสีหอควบคุม,การทาสี,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานติดตั้งระบบสื่อสารภายใน,การติดตั้งระบบสื่อสารภายใน,การติดตั้ง,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานติดตั้งระบบสื่อสารภายใน,การทดสอบระบบสื่อสาร,การตรวจสอบ,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานติดตั้งระบบสื่อสารภายใน,การติดตั้งสายเคเบิลสื่อสาร,การติดตั้ง,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานก่อสร้างทางเชื่อมอาคาร,การก่อสร้างทางเชื่อมคอนกรีต,การก่อสร้าง,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานก่อสร้างทางเชื่อมอาคาร,การติดตั้งราวกันตก,การติดตั้ง,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานก่อสร้างทางเชื่อมอาคาร,การทาสีทางเชื่อม,การทาสี,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานติดตั้งระบบระบายน้ำ,การติดตั้งท่อระบายน้ำ,การติดตั้ง,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานติดตั้งระบบระบายน้ำ,การทดสอบระบบระบายน้ำ,การตรวจสอบ,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานติดตั้งระบบระบายน้ำ,การทำความสะอาดท่อระบายน้ำ,การทำความสะอาด,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานสำรวจโครงสร้างดิน,การเก็บตัวอย่างดินฐานราก,การสำรวจ,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานสำรวจโครงสร้างดิน,การวิเคราะห์ความแข็งแรงดิน,การสำรวจ,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานสำรวจโครงสร้างดิน,การทำแผนที่โครงสร้างดิน,การสำรวจ,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานติดตั้งประตูอัตโนมัติ,การติดตั้งประตูอัตโนมัติ,การติดตั้ง,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานติดตั้งประตูอัตโนมัติ,การทดสอบประตูอัตโนมัติ,การตรวจสอบ,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานติดตั้งประตูอัตโนมัติ,การบำรุงรักษาประตูอัตโนมัติ,การบำรุงรักษา,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานก่อสร้างรั้วรอบสนามบิน,การก่อสร้างรั้วคอนกรีต,การก่อสร้าง,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานก่อสร้างรั้วรอบสนามบิน,การติดตั้งลวดหนามบนรั้ว,การติดตั้ง,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานก่อสร้างรั้วรอบสนามบิน,การทาสีรั้วรอบสนามบิน,การทาสี,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานก่อสร้างรั้วรอบสนามบิน,การตรวจสอบความแข็งแรงรั้ว,การตรวจสอบ,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานติดตั้งระบบตรวจสอบสัมภาระ,การติดตั้งเครื่องสแกนสัมภาระ,การติดตั้ง,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานติดตั้งระบบตรวจสอบสัมภาระ,การทดสอบระบบสแกนสัมภาระ,การตรวจสอบ,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานติดตั้งระบบตรวจสอบสัมภาระ,การบำรุงรักษาเครื่องสแกน,การบำรุงรักษา,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานทำความสะอาดอาคารผู้โดยสาร,,,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานติดตั้งระบบระบายอากาศ,,,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานติดตั้งระบบเสียงประกาศ,,,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานสำรวจโครงสร้างอาคาร,,,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานติดตั้งระบบกล้องวงจรปิด,,,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานก่อสร้างอาคารจอดรถ,,,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานติดตั้งระบบไฟสำรอง,,,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานก่อสร้างอาคารสำนักงาน,,,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานทาสีรันเวย์,,,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานติดตั้งระบบจัดการพลังงาน,,,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานสำรวจความปลอดภัยรันเวย์,,,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานติดตั้งระบบไวไฟทั่วพื้นที่,,,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานก่อสร้างทางเดินเชื่อม,,,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานก่อสร้างศูนย์ฝึกอบรม,,,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานติดตั้งระบบไฟจราจร,,,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานติดตั้งลิฟต์โดยสาร,,,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานก่อสร้างจุดตรวจความปลอดภัย,,,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานติดตั้งระบบป้ายดิจิทัล,,,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานติดตั้งระบบจัดการน้ำเสีย,,,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานก่อสร้างทางลาดสำหรับผู้พิการ,,,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานบริหารจัดการจราจรพื้น,,,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานบริหารจัดการขยะ,,,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานทาสีภายนอกอาคาร,,,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานติดตั้งระบบควบคุมอุณหภูมิ,,,2024-06-01,2033-12-31
ทางแยก ทล.4027,,,,2024-11-01,2025-09-30
เดอะ ฟอเรสเทียส์ โครงการมิกซ์ยูส,,,,2023-06-01,2026-12-31
คอมเพล็กซ์เกษตร-อุตสาหกรรม ซีพี ฟู้ดส์ (สระบุรี),,,,2024-07-01,2027-03-31
ศูนย์พลังงานหมุนเวียนบางปะกง,,,,2025-01-01,2028-06-30
รถไฟความเร็วสูงไทย-จีน (นครราชสีมา-หนองคาย),,,,2024-01-01,2028-12-31
ระบบป้องกันน้ำท่วมนครศรีธรรมราช,,,,2025-01-01,2026-12-31
สายสีแดง ตลิ่งชัน-ศิริราช,,,,2024-01-01,2027-12-31
รถไฟรางเบาภูเก็ต,,,,2023-10-01,2026-06-30
ขยายโรงงานผลิตเครื่องดื่ม (ปทุมธานี),,,,2025-02-01,2027-12-31
นิคมอุตสาหกรรมไฮเทค อีอีซี (ชลบุรี),,,,2024-12-01,2027-12-31
การพัฒนาระเบียงเศรษฐกิจภาคใต้,,,,2025-06-01,2030-12-31
ศูนย์บริการศรีราชา (ทางหลวง M7),,,,2024-11-01,2025-11-30
สะพานมิตรภาพไทย-ลาว แห่งที่ 5,,,,2021-12-01,2025-12-19
รถไฟชานเมืองสายสีแดง (รังสิต-ธรรมศาสตร์),,,,2023-09-01,2026-06-30
ปรับปรุงอาคารสำนักงานสาทร สแควร์,,,,2024-06-01,2027-09-30
ทางรถไฟรางคู่ (จิระ-อุบล),,,,2023-11-01,2027-12-31
โครงการที่อยู่อาศัยวรรณวลัย ณ เจ้าพระยา,,,,2024-01-01,2027-12-31
ดุสิต เซ็นทรัล พาร์ค,,,,2020-01-01,2025-12-31
พื้นที่บริการบางละมุง ทางหลวง M7,,,,2024-11-01,2025-11-30
คอนโดมิเนียมหรูแสนสิริ (สุขุมวิท),,,,2023-11-01,2025-12-31
ทรู ดิจิทัล พาร์ค เฟส 2,,,,2024-08-01,2026-03-31
โรงงานผลิตรถยนต์ไฟฟ้าระยอง,,,,2024-06-01,2025-12-31
โครงการที่อยู่อาศัยสีเขียว แอลเอช (นนทบุรี),,,,2024-10-01,2027-03-31
ท่าเรือแหลมฉบัง เฟส 3,,,,2025-01-01,2027-12-31
โรงงานผลิตปูนซีเมนต์สีเขียว (ระยอง),,,,2024-09-01,2026-12-31
ทางหลวงบางใหญ่-กาญจนบุรี,,,,2024-04-01,2026-09-30
ส่วนต่อขยายทางด่วนฉลองรัช,,,,2023-01-01,2027-12-31
รถไฟฟ้าสายสีส้ม (กรุงเทพ),,,,2023-12-01,2027-06-30
รถไฟชานเมืองสายสีแดง (ตลิ่งชัน-ศาลายา),,,,2023-09-01,2026-06-30
ปรับปรุงโรงบำบัดน้ำเชียงใหม่,,,,2024-05-01,2026-06-30
สวนสาธารณะอนุสรณ์พระบาทสมเด็จพระเจ้าอยู่หัวรัชกาลที่ 9,,,,2022-10-13,2025-12-31
ศูนย์ข้อมูลนิคมอุตสาหกรรมชลบุรี,,,,2024-02-01,2025-06-30
วัน แบงค็อก,,,,2019-06-01,2030-12-31
โรงงานผลิตพลังงานจากขยะอ่อนนุช,,,,2024-03-01,2026-06-30
พิพิธภัณฑ์ศิลปะร่วมสมัยนานาชาติดิบ,,,,2024-05-01,2025-12-20
การปรับปรุงถนนพระราม 2,,,,2024-05-01,2026-12-31
ขยายอาคารผู้โดยสาร 3 สนามบินดอนเมือง,,,,2025-03-01,2028-12-31
ท่าเรืออุตสาหกรรมมาบตาพุด เฟส 3,,,,2025-01-01,2027-12-31
กองรถโดยสารใหม่ของการรถไฟแห่งประเทศไทย,,,,2024-01-01,2026-06-30
